"DE_ID","total_after_hours_minutes","total_system_minutes","after_hours_percent"
65945320,9,11561,0.0778479370296687
65945324,325,13850,2.34657039711191
66311796,25,843,2.9655990510083
66316664,743,15519,4.78767961853212
66316880,553,10078,5.48719984123834
67512900,10626,48676,21.8300599884954
67549264,10,6507,0.153680651605963
67558552,118,32913,0.358520949169021
67566516,457,7353,6.21515027879777
67580608,1204,22182,5.42782436209539
67609044,289,18308,1.57854489840507
67647868,2259,21065,10.7239496795633
67668012,19,11333,0.167651989764405
67671796,1195,16417,7.27904001949199
67692900,204,22045,0.925379904740304
67725036,164,12537,1.30812794129377
67751308,1412,48020,2.94044148271553
67751676,5,8826,0.0566508044414231
67752116,957,18473,5.18053375196232
67756268,1577,25512,6.18140482910003
67756352,614,12600,4.87301587301587
67778340,31,2563,1.20952009364027
67778836,451,26581,1.69670065084083
67803336,107,22047,0.485326801832449
67818448,27,9171,0.294406280667321
67839304,3,15655,0.019163206643245
622264432,6,22006,0.0272652912841952
622288744,1,5995,0.0166805671392827
622288752,198,10287,1.92475940507437
622288760,399,7840,5.08928571428571
622288764,4646,35732,13.0023508339863
622288768,345,15439,2.23460068657296
622288772,198,9663,2.04905308910276
622288780,552,16779,3.28982656892544
622293284,141,32817,0.429655361550416
622351160,1064,20799,5.1156305591615
622351168,502,15473,3.24436114522071
622351172,543,8657,6.27238073235532
622351176,192,6394,3.00281513919299
622351180,88,1881,4.67836257309941
622351196,65,1123,5.78806767586821
622351200,353,17401,2.02861904488248
622351204,1182,13922,8.49015945984772
622351208,21,6805,0.308596620132256
622368596,1170,38271,3.05714509680959
622401548,8905,101379,8.78387042681423
622409368,51,1044,4.88505747126437
622409420,101,2885,3.50086655112652
622413292,86,10423,0.825098340209153
622413296,1913,18270,10.4707170224412
622413432,326,20712,1.57396678254152
622427852,12,4623,0.259571706683971
