"","appointments","schedule_hours","system_hours","inbasket_hours","afterhours","messages","messages_pc","messages_mar","messages_res","messages_rxa","avg_dummd","avg_dummd_pc","avg_dummd_mar","avg_dummd_res","avg_dummd_rxa"
"appointments",1,0.96134230052353,0.77974053257726,0.720161366049053,0.585455363174469,0.74612597077432,0.625969497744979,0.672141192482635,0.477487938693831,0.422139994012092,0.00310288506378462,0.00310288506378462,0.0211403384809199,0.150703392244625,0.00615905411565013
"schedule_hours",0.96134230052353,1,0.693633858401635,0.639882367810485,0.535765859970984,0.628311860255976,0.519146065404654,0.578749529030401,0.417099596829707,0.324682595685296,0.0258817519699307,0.0258817519699307,0.0409128199891344,0.115346503695251,-0.0182721476475143
"system_hours",0.77974053257726,0.693633858401635,1,0.899044984146954,0.891510618915976,0.626012019145922,0.499792021686769,0.615440046733805,0.366462281468636,0.339160463014019,-0.0170696412694244,-0.0170696412694244,-0.0412961798293049,0.167698246126969,0.0102451132466193
"inbasket_hours",0.720161366049053,0.639882367810485,0.899044984146954,1,0.748290008716597,0.736294143713291,0.580896971081947,0.787302818579806,0.311867524927316,0.451708726393931,0.00729512273463238,0.00729512273463238,-0.0664728940162633,0.142939888826425,0.020684313323867
"afterhours",0.585455363174469,0.535765859970984,0.891510618915976,0.748290008716597,1,0.375106955640291,0.39377872603306,0.352969647835289,0.135044872098725,0.242528269917391,-0.0198334668983429,-0.0198334668983429,-0.0126800108941094,0.104425400468857,0.0419325073423087
"messages",0.74612597077432,0.628311860255976,0.626012019145922,0.736294143713291,0.375106955640291,1,0.826232945578944,0.877723222374005,0.601466013064134,0.661069038312915,0.0513107830358298,0.0513107830358298,0.0182939652595595,0.14070366840168,0.0955853923589926
"messages_pc",0.625969497744979,0.519146065404654,0.499792021686769,0.580896971081947,0.39377872603306,0.826232945578944,1,0.652495926037454,0.186612078677619,0.740684171824772,0.0649727944472532,0.0649727944472532,0.0531761218192712,0.141264865100597,0.0450249976352851
"messages_mar",0.672141192482635,0.578749529030401,0.615440046733805,0.787302818579806,0.352969647835289,0.877723222374005,0.652495926037454,1,0.44774209221041,0.386890871477129,0.0585495847177115,0.0585495847177115,-0.114636543648457,0.172350084202084,0.133735768073337
"messages_res",0.477487938693831,0.417099596829707,0.366462281468636,0.311867524927316,0.135044872098725,0.601466013064134,0.186612078677619,0.44774209221041,1,0.0352050216509933,-0.0315029847128224,-0.0315029847128224,0.0158289526021794,0.0315509735969409,-0.0144214847917599
"messages_rxa",0.422139994012092,0.324682595685296,0.339160463014019,0.451708726393931,0.242528269917391,0.661069038312915,0.740684171824772,0.386890871477129,0.0352050216509933,1,0.0677292720516386,0.0677292720516386,0.175189706502805,0.0577848001517988,0.104992319925362
"avg_dummd",0.00310288506378462,0.0258817519699307,-0.0170696412694244,0.00729512273463238,-0.0198334668983429,0.0513107830358298,0.0649727944472532,0.0585495847177115,-0.0315029847128224,0.0677292720516386,1,1,0.705211871174312,0.530725937182812,0.293500375268735
"avg_dummd_pc",0.00310288506378462,0.0258817519699307,-0.0170696412694244,0.00729512273463238,-0.0198334668983429,0.0513107830358298,0.0649727944472532,0.0585495847177115,-0.0315029847128224,0.0677292720516386,1,1,0.705211871174312,0.530725937182812,0.293500375268735
"avg_dummd_mar",0.0211403384809199,0.0409128199891344,-0.0412961798293049,-0.0664728940162633,-0.0126800108941094,0.0182939652595595,0.0531761218192712,-0.114636543648457,0.0158289526021794,0.175189706502805,0.705211871174312,0.705211871174312,1,0.467145205791661,0.351743482795834
"avg_dummd_res",0.150703392244625,0.115346503695251,0.167698246126969,0.142939888826425,0.104425400468857,0.14070366840168,0.141264865100597,0.172350084202084,0.0315509735969409,0.0577848001517988,0.530725937182812,0.530725937182812,0.467145205791661,1,0.477706064014633
"avg_dummd_rxa",0.00615905411565013,-0.0182721476475143,0.0102451132466193,0.020684313323867,0.0419325073423087,0.0955853923589926,0.0450249976352851,0.133735768073337,-0.0144214847917599,0.104992319925362,0.293500375268735,0.293500375268735,0.351743482795834,0.477706064014633,1
